scenario_id,volume_delta_rel,exploratory_query_share_delta_abs,p3_click_share_delta_abs,mean_clicked_rank_delta_abs,ai_trigger_rate_delta_abs,ai_success_rate_delta_abs,expected_click_quality_delta_abs,expected_click_quality_delta_rel,expected_search_quality_success_delta_abs,expected_search_quality_success_delta_rel
S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0,0.0000
S1,0.06,0.04,0.0,0.1,0.0,0.0,0.0,0.0000,0.0,0.0000
S2,0.18,0.12,0.0,0.2,0.0,0.0,-0.015,-0.0536,-0.01,-0.0264
S3,0.02,0.08,0.08,0.2,0.0,0.0,-0.006,-0.0214,0.004,0.0106
S4,0.01,-0.05,0.18,0.8,0.0,0.0,-0.035,-0.1250,-0.022,-0.0582
S5,0.0,0.0,0.0,0.5,0.12,0.1,-0.02,-0.0714,0.006,0.0159
S6,0.0,0.0,0.0,0.1,0.1,-0.25,0.0,0.0000,-0.03,-0.0793
S7,0.19,0.07,0.18,1.0,0.0,0.0,-0.045,-0.1607,-0.03,-0.0793
S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0,0.0000
S9,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,-0.0250,-0.005,-0.0132
S10,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.0357,-0.008,-0.0212
S11,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,-0.0179,-0.004,-0.0106
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,-0.012,-0.0317
